"year" "area" "price"
"1" 3 36 43115
"2" 2 32 41989
"3" 24 31 5000
"4" 8 56 52732
"5" 9 36 30809
"6" 30 57 8430
"7" 10 65 57164
"8" 0 95 104477
"9" 11 55 45037
"10" 26 43 5000
"11" 12 52 40343
"12" 12 30 19526
"13" 4 33 39276
"14" 3 46 53247
"15" 16 41 22398
"16" 23 54 20340
"17" 13 61 46495
"18" 13 52 37596
"19" 9 36 32118
"20" 3 40 46402
"21" 11 32 23097
"22" 5 35 38330
"23" 3 41 47990
"24" 2 33 41808
"25" 26 126 82902
"26" 28 43 5000
"27" 10 38 32050
"28" 13 31 17570
"29" 13 35 23288
"30" 10 39 32011
"31" 6 36 37107
"32" 17 42 20266
"33" 21 34 5302
"34" 5 36 39909
"35" 22 73 40008
"36" 22 38 6322
"37" 8 34 30779
"38" 5 76 76979
"39" 20 35 8846
"40" 29 35 5000
"41" 9 56 49905
"42" 10 104 94480
"43" 17 67 44193
"44" 13 39 26727
"45" 14 44 29013
"46" 14 38 23255
"47" 15 51 33446
"48" 5 35 38163
"49" 13 40 26714
"50" 5 33 37449
"51" 3 52 58653
"52" 17 68 45118
"53" 8 57 54092
"54" 19 53 27376
"55" 13 49 35669
"56" 3 41 47070
"57" 22 34 5000
"58" 1 59 69460
"59" 7 39 37842
"60" 14 96 77878
"61" 28 55 12055
"62" 4 35 40180
"63" 21 81 50545
"64" 27 39 5000
"65" 25 32 5000
"66" 5 48 50197
"67" 17 63 41052
"68" 14 44 28098
"69" 4 32 37144
"70" 2 50 57988
"71" 3 55 60908
"72" 22 36 5000
"73" 5 82 82186
"74" 10 48 40478
"75" 13 33 20175
"76" 4 59 62680
"77" 26 38 5000
"78" 23 52 18357
"79" 21 73 41533
"80" 26 76 34774
"81" 9 41 35700
"82" 27 48 6360
"83" 19 44 18751
"84" 5 34 37451
"85" 28 41 5000
"86" 8 31 28714
"87" 17 36 14805
"88" 25 32 5000
"89" 24 45 10176
"90" 9 31 26855
"91" 26 63 23099
"92" 9 65 57890
"93" 12 52 40614
"94" 17 67 44260
"95" 16 53 33812
"96" 14 58 41466
"97" 17 44 23925
"98" 2 46 54831
"99" 27 40 5000
"100" 9 41 35755
"101" 24 34 5000
"102" 9 40 35646
"103" 2 146 149994
"104" 7 48 47243
"105" 16 37 18230
"106" 13 62 47818
"107" 26 34 5000
"108" 0 51 63722
"109" 10 42 35303
"110" 22 46 13727
"111" 20 31 5000
"112" 30 56 7876
"113" 16 82 60977
"114" 29 48 5000
"115" 11 47 38732
"116" 17 63 39985
"117" 19 97 68911
"118" 1 158 163148
"119" 2 55 63173
"120" 22 55 23260
"121" 9 33 29402
"122" 27 55 13699
"123" 21 41 11961
"124" 17 36 15751
"125" 8 49 45765
"126" 25 51 13565
"127" 14 48 32319
"128" 2 52 59615
"129" 23 31 5000
"130" 3 44 51446
"131" 15 37 19948
"132" 12 61 49168
"133" 5 42 44829
"134" 25 88 48256
"135" 7 35 34725
"136" 24 65 28598
"137" 4 37 42169
"138" 30 100 50342
"139" 15 59 41833
"140" 21 33 5000
"141" 28 42 5000
"142" 9 59 53633
"143" 12 40 29314
"144" 9 34 28602
"145" 17 38 16784
"146" 4 39 43247
"147" 11 35 26456
"148" 10 35 28538
"149" 7 42 40213
"150" 29 47 5000
"151" 21 32 5000
"152" 19 40 14144
"153" 24 62 25714
"154" 21 44 14698
"155" 18 53 30007
"156" 14 33 17990
"157" 13 95 79363
"158" 21 46 16626
"159" 15 46 28307
"160" 5 38 41182
"161" 13 64 50030
"162" 29 62 16438
"163" 6 46 47389
"164" 3 63 69621
"165" 14 33 18222
"166" 24 31 5000
"167" 25 53 15115
"168" 14 30 15804
"169" 21 31 5000
"170" 2 44 52561
"171" 3 58 64537
"172" 2 48 56559
"173" 10 35 28316
"174" 29 59 12530
"175" 26 43 5000
"176" 28 57 12609
"177" 15 61 43533
"178" 20 30 5000
"179" 20 34 7870
"180" 15 70 51493
"181" 23 35 5000
"182" 21 34 5632
"183" 20 56 28760
"184" 15 40 22351
"185" 8 50 46609
"186" 1 66 76099
"187" 6 36 37834
"188" 28 46 5000
"189" 29 51 5886
"190" 13 31 17844
"191" 15 41 24640
"192" 18 52 28584
"193" 23 33 5000
"194" 24 30 5000
"195" 2 39 47287
"196" 20 36 9104
"197" 1 47 58462
"198" 16 72 51933
"199" 13 44 30834
"200" 28 31 5000
"201" 2 80 85983
"202" 14 48 32739
"203" 17 34 14724
"204" 6 49 50387
"205" 24 32 5000
"206" 28 38 5000
"207" 27 55 12346
"208" 29 36 5000
"209" 20 38 11481
"210" 7 179 171170
"211" 24 32 5000
"212" 24 39 5000
"213" 27 58 16047
"214" 26 36 5000
"215" 25 40 5000
"216" 27 33 5000
"217" 25 32 5000
"218" 28 31 5000
"219" 2 31 39964
"220" 17 36 15410
"221" 29 66 19371
"222" 3 61 66820
"223" 18 41 18148
"224" 23 35 5000
"225" 25 39 5000
"226" 5 71 71978
"227" 24 57 21115
"228" 24 34 5000
"229" 27 58 16047
"230" 21 32 5000
"231" 18 67 42498
"232" 9 51 45172
"233" 5 37 41555
"234" 12 32 21428
"235" 8 50 46931
"236" 20 33 5468
"237" 28 64 19838
"238" 7 35 33935
"239" 20 34 6853
"240" 28 50 7176
"241" 13 42 28464
"242" 24 42 7499
"243" 8 46 42216
"244" 0 32 45908
"245" 0 35 47858
"246" 24 37 5000
"247" 0 34 48129
"248" 18 69 45407
"249" 6 76 75419
"250" 16 36 17126
"251" 24 37 5000
"252" 24 32 5000
"253" 4 43 47766
"254" 30 38 5000
"255" 0 58 70001
"256" 29 54 8689
"257" 8 59 55194
"258" 27 102 57563
"259" 6 31 32479
"260" 4 31 36140
"261" 5 32 35659
"262" 24 30 5000
"263" 16 35 16606
"264" 17 49 27912
"265" 6 32 32990
"266" 7 45 43514
"267" 9 32 27317
"268" 29 31 5000
"269" 20 45 17713
"270" 14 58 42791
"271" 30 46 5000
"272" 4 33 38585
"273" 0 45 57856
"274" 23 38 5000
"275" 14 54 38597
"276" 7 30 29573
"277" 18 36 12116
"278" 7 40 38580
"279" 14 50 34302
"280" 3 38 44777
"281" 29 51 5900
"282" 19 37 12297
"283" 11 95 83051
"284" 15 51 33832
"285" 20 67 38747
"286" 20 34 7282
"287" 17 38 16365
"288" 5 34 37170
"289" 7 57 55001
"290" 29 55 8512
"291" 14 32 17890
"292" 21 32 5000
"293" 24 32 5000
"294" 2 101 106087
"295" 12 38 27019
"296" 17 49 27394
"297" 12 32 20832
"298" 14 65 48628
"299" 1 31 41764
"300" 17 35 14333
"301" 14 54 38434
"302" 14 43 28419
"303" 1 55 65325
"304" 29 98 49962
"305" 5 61 62841
"306" 21 33 5000
"307" 13 31 18703
"308" 8 120 113722
"309" 21 30 5000
"310" 2 35 44234
"311" 28 31 5000
"312" 8 58 54695
"313" 30 84 34588
"314" 20 44 16603
"315" 9 49 43194
"316" 28 64 19644
"317" 2 34 43342
"318" 20 35 8003
"319" 12 39 27420
"320" 17 43 22574
"321" 13 57 42585
"322" 3 35 42439
"323" 22 78 45819
"324" 26 30 5000
"325" 13 67 52723
"326" 16 41 21660
"327" 14 53 36551
"328" 6 43 44384
"329" 3 62 68363
"330" 13 63 49403
"331" 21 65 34645
"332" 27 62 20009
"333" 4 51 55186
"334" 22 36 5000
"335" 5 57 59718
"336" 2 131 136078
"337" 7 43 42126
"338" 16 46 26312
"339" 18 47 23176
"340" 22 34 5000
"341" 25 44 7455
"342" 24 48 11610
"343" 17 78 54966
"344" 20 45 18589
"345" 28 53 8742
"346" 17 62 39452
"347" 28 67 22231
"348" 21 77 46390
"349" 19 87 59870
"350" 5 81 81182
"351" 8 36 33538
"352" 13 37 24767
"353" 5 80 80841
"354" 27 119 74318
"355" 12 47 36402
"356" 26 49 9229
"357" 29 34 5000
"358" 29 48 5000
"359" 13 46 32331
