age	mileage	price
15	167607	7078
7	399609	9181
8	214518	15213
10	102888	15970
4	73443	32920
11	85183	19985
10	303938	8301
7	419158	8838
6	44829	27764
1	336415	22310
17	30697	14734
5	469852	5543
5	56187	28713
6	121491	24856
10	62166	20481
6	317307	15104
11	251857	9266
2	39935	34947
10	26289	19763
9	239231	11210
13	456302	500
9	115425	20686
11	392384	2883
10	30052	22710
10	366293	7747
15	44427	11740
5	373427	17288
12	392706	500
2	488289	15257
8	170340	18927
9	148050	16012
9	459594	4077
7	311194	10899
6	184694	20750
4	469476	9666
13	117181	16182
6	391380	12723
8	362104	7749
11	389858	2635
6	375293	10580
7	56352	23671
6	427698	9128
9	157706	16953
11	158731	16085
16	283915	500
7	146367	20039
1	310963	18605
20	424912	500
14	228901	5628
13	491958	500
5	98562	26820
8	382323	5582
3	120848	29656
9	351987	6108
7	479159	1302
1	219523	26144
13	455850	500
9	301638	13075
9	200157	17639
15	102608	8754
6	317139	15056
10	98969	15526
1	442559	16974
7	342699	8170
13	354629	2425
9	218280	17473
8	366179	8276
9	370199	9456
14	372753	500
1	64256	31354
9	422769	6299
5	100302	27204
8	245527	14952
6	289673	13953
6	133394	24082
5	280787	17204
15	186372	10475
14	190459	7390
9	252790	16503
1	193471	31823
10	44438	21963
5	386921	12334
9	163140	19780
8	222052	14227
12	246223	8661
3	30085	32929
15	460026	500
5	5540	30316
1	218424	26354
5	271716	19467
1	246637	20991
13	191655	4805
15	425046	500
7	423443	4492
7	492041	4414
12	315523	9146
10	390387	3445
6	243620	20580
6	393075	11427
5	497812	8128
4	53479	26606
12	132607	14739
1	420962	16208
4	284930	20312
12	175268	14846
8	480894	4320
1	119284	28031
1	212580	26778
24	122186	500
6	282222	14574
8	341504	6983
12	19613	19936
11	309709	7496
15	70013	13721
11	329657	6762
16	308817	1527
7	210708	21152
12	467557	500
9	688	27038
3	63579	31170
9	157542	21206
1	179407	27505
19	298495	500
5	469301	8521
1	213568	24854
5	436501	5385
